,product_links
0,https://hu.milwaukeetool.eu/hu-hu/m18-resistant-50-ah-battery/m18-b5-cr/
1,"https://hu.milwaukeetool.eu/hu-hu/3,0-ah-redlithium-usb-akkumulator/l4-b3/"
2,https://hu.milwaukeetool.eu/hu-hu/mxf-cp/mxf-cp/
3,https://hu.milwaukeetool.eu/hu-hu/mx-fuel-akkumulator-es-tolto-szett/mxf-nrg/
4,https://hu.milwaukeetool.eu/hu-hu/mxf-xc/mxf-xc/
5,https://hu.milwaukeetool.eu/akumulatorove/akumulatory-a%c2%a0nabijecky/akumulatory/mxf-xc406-(1)/
6,https://hu.milwaukeetool.eu/hu-hu/m18-high-output-80-ah-akkumulator/m18-hb8/
7,https://hu.milwaukeetool.eu/hu-hu/m18-high-output-55-ah-akkumulator/m18-hb5-5/
8,https://hu.milwaukeetool.eu/hu-hu/m18-high-output-30-ah-akkumulator/m18-hb3/
9,https://hu.milwaukeetool.eu/hu-hu/m18-high-output-120-ah-akkumulator/m18-hb12/
10,https://hu.milwaukeetool.eu/hu-hu/m12-60-ah-akkumulator/m12-b6/
11,https://hu.milwaukeetool.eu/hu-hu/m12-30-ah-akkumulator/m12-b3/
12,https://hu.milwaukeetool.eu/hu-hu/m18-50-ah-akkumulator/m18-b5/
13,https://hu.milwaukeetool.eu/hu-hu/m28-50-ah-akkumulator/m28-b5/
14,"https://hu.milwaukeetool.eu/hu-hu/m12-4,0-ah-akkumulator/m12-b4/"
15,"https://hu.milwaukeetool.eu/hu-hu/m18-4,0-ah-akkumulator/m18-b4/"
16,"https://hu.milwaukeetool.eu/hu-hu/m18-2,0-ah-akkumulator/m18-b2/"
17,"https://hu.milwaukeetool.eu/hu-hu/m12-2,0-ah-akkumulator/m12-b2/"
18,"https://hu.milwaukeetool.eu/hu-hu/m28-3,0-ah-akkumulator/m28-bx/"
19,https://hu.milwaukeetool.eu/hu-hu/m14-b4/m14-b4/
20,"https://hu.milwaukeetool.eu/hu-hu/m14-1,5-ah-akkumulator/m14-b/"
21,https://hu.milwaukeetool.eu/hu-hu/m4-b2/m4-b2/
